File,fold,slice,heads,kernel size,Nf,bestAcc,averAcc
saved_data.npy,0,10,1,11,5,0.3116883116883117,0.24415584415584418
saved_data.npy,1,10,1,11,5,0.36363636363636365,0.28961038961038965
saved_data.npy,2,10,1,11,5,0.37662337662337664,0.3
saved_data.npy,3,10,1,11,5,0.38961038961038963,0.34545454545454546
saved_data.npy,4,10,1,11,5,0.2987012987012987,0.25844155844155847
saved_data.npy,5,10,1,11,5,0.2597402597402597,0.18441558441558442
saved_data.npy,6,10,1,11,5,0.27631578947368424,0.20921052631578946
saved_data.npy,7,10,1,11,5,0.32894736842105265,0.2631578947368421
saved_data.npy,8,10,1,11,5,0.34210526315789475,0.30394736842105263
saved_data.npy,9,10,1,11,5,0.3026315789473684,0.24736842105263154
saved_data.npy,0,10,1,11,1,0.35064935064935066,0.29220779220779225
saved_data.npy,1,10,1,11,1,0.36363636363636365,0.309090909090909
saved_data.npy,2,10,1,11,1,0.2727272727272727,0.24545454545454545
saved_data.npy,3,10,1,11,1,0.36363636363636365,0.33116883116883117
saved_data.npy,4,10,1,11,1,0.36363636363636365,0.28311688311688316
saved_data.npy,5,10,1,11,1,0.35064935064935066,0.30389610389610383
saved_data.npy,6,10,1,11,1,0.2894736842105263,0.25394736842105264
saved_data.npy,7,10,1,11,1,0.3026315789473684,0.26578947368421046
saved_data.npy,8,10,1,11,1,0.35526315789473684,0.26973684210526316
saved_data.npy,9,10,1,11,1,0.3157894736842105,0.25526315789473686
saved_data.npy,0,10,1,11,9,0.3246753246753247,0.27792207792207785
saved_data.npy,1,10,1,11,9,0.38961038961038963,0.3038961038961039
saved_data.npy,2,10,1,11,9,0.2857142857142857,0.22727272727272724
saved_data.npy,3,10,1,11,9,0.42857142857142855,0.3311688311688311
saved_data.npy,4,10,1,11,9,0.3116883116883117,0.2753246753246753
saved_data.npy,5,10,1,11,9,0.4155844155844156,0.35584415584415585
saved_data.npy,6,10,1,11,9,0.27631578947368424,0.25
saved_data.npy,7,10,1,11,9,0.27631578947368424,0.24078947368421053
saved_data.npy,8,10,1,11,9,0.3157894736842105,0.25
saved_data.npy,9,10,1,11,9,0.23684210526315788,0.18026315789473685
saved_data.npy,0,10,1,5,5,0.2987012987012987,0.2727272727272727
saved_data.npy,1,10,1,5,5,0.36363636363636365,0.312987012987013
saved_data.npy,2,10,1,5,5,0.24675324675324675,0.17142857142857143
saved_data.npy,3,10,1,5,5,0.2987012987012987,0.24025974025974026
saved_data.npy,4,10,1,5,5,0.2857142857142857,0.23636363636363641
saved_data.npy,5,10,1,5,5,0.33766233766233766,0.3012987012987013
saved_data.npy,6,10,1,5,5,0.2631578947368421,0.21315789473684213
saved_data.npy,7,10,1,5,5,0.32894736842105265,0.28157894736842104
saved_data.npy,8,10,1,5,5,0.34210526315789475,0.26710526315789473
saved_data.npy,9,10,1,5,5,0.3157894736842105,0.25131578947368427
saved_data.npy,0,10,1,5,1,0.36363636363636365,0.31298701298701304
saved_data.npy,1,10,1,5,1,0.2597402597402597,0.2272727272727273
saved_data.npy,2,10,1,5,1,0.2597402597402597,0.2220779220779221
saved_data.npy,3,10,1,5,1,0.3246753246753247,0.3
saved_data.npy,4,10,1,5,1,0.36363636363636365,0.3012987012987013
saved_data.npy,5,10,1,5,1,0.33766233766233766,0.2766233766233766
saved_data.npy,6,10,1,5,1,0.27631578947368424,0.2368421052631579
saved_data.npy,7,10,1,5,1,0.3157894736842105,0.2868421052631579
saved_data.npy,8,10,1,5,1,0.39473684210526316,0.3513157894736842
saved_data.npy,9,10,1,5,1,0.3684210526315789,0.28947368421052627
saved_data.npy,0,10,1,5,9,0.35064935064935066,0.2948051948051948
saved_data.npy,1,10,1,5,9,0.4025974025974026,0.3363636363636363
saved_data.npy,2,10,1,5,9,0.2597402597402597,0.22857142857142856
saved_data.npy,3,10,1,5,9,0.35064935064935066,0.2961038961038961
saved_data.npy,4,10,1,5,9,0.2597402597402597,0.212987012987013
saved_data.npy,5,10,1,5,9,0.35064935064935066,0.26753246753246757
saved_data.npy,6,10,1,5,9,0.2894736842105263,0.26710526315789473
